seriesCode,iso2cd,year,value
SH_DYN_IMRT,gm,2018,35.0
SH_DYN_IMRT,gm,2018,42.9
SH_DYN_IMRT,gm,2018,39.0
SH_DYN_IMRT,ps,2018,15.8
SH_DYN_IMRT,ps,2018,18.7
SH_DYN_IMRT,ps,2018,17.3
SH_DYN_IMRT,de,2018,3.1
SH_DYN_IMRT,de,2018,3.3
SH_DYN_IMRT,de,2018,2.8
SH_DYN_IMRT,gh,2018,31.1
SH_DYN_IMRT,gh,2018,38.6
SH_DYN_IMRT,gh,2018,34.9
SH_DYN_IMRT,ki,2018,45.4
SH_DYN_IMRT,ki,2018,41.2
SH_DYN_IMRT,ki,2018,37.0
SH_DYN_IMRT,gr,2018,3.9
SH_DYN_IMRT,gr,2018,3.3
SH_DYN_IMRT,gr,2018,3.6
SH_DYN_IMRT,gd,2018,12.5
SH_DYN_IMRT,gd,2018,14.9
SH_DYN_IMRT,gd,2018,13.7
SH_DYN_IMRT,gt,2018,24.4
SH_DYN_IMRT,gt,2018,19.6
SH_DYN_IMRT,gt,2018,22.1
SH_DYN_IMRT,gn,2018,59.5
SH_DYN_IMRT,gn,2018,70.0
SH_DYN_IMRT,gn,2018,64.9
SH_DYN_IMRT,gy,2018,25.1
SH_DYN_IMRT,gy,2018,28.4
SH_DYN_IMRT,gy,2018,21.7
SH_DYN_IMRT,ht,2018,54.5
SH_DYN_IMRT,ht,2018,49.5
SH_DYN_IMRT,ht,2018,44.3
SH_DYN_IMRT,hn,2018,13.3
SH_DYN_IMRT,hn,2018,15.1
SH_DYN_IMRT,hn,2018,16.8
SH_DYN_IMRT,hu,2018,3.3
SH_DYN_IMRT,hu,2018,3.8
SH_DYN_IMRT,hu,2018,3.6
SH_DYN_IMRT,is,2018,1.5
SH_DYN_IMRT,is,2018,1.4
SH_DYN_IMRT,is,2018,1.7
SH_DYN_IMRT,in,2018,29.9
SH_DYN_IMRT,in,2018,29.9
SH_DYN_IMRT,in,2018,30.0
SH_DYN_IMRT,id,2018,18.6
SH_DYN_IMRT,id,2018,21.1
SH_DYN_IMRT,id,2018,23.5
SH_DYN_IMRT,ir,2018,12.4
SH_DYN_IMRT,ir,2018,11.7
SH_DYN_IMRT,ir,2018,13.1
SH_DYN_IMRT,iq,2018,22.5
SH_DYN_IMRT,iq,2018,20.1
SH_DYN_IMRT,iq,2018,24.6
SH_DYN_IMRT,ie,2018,3.4
SH_DYN_IMRT,ie,2018,2.8
SH_DYN_IMRT,ie,2018,3.1
SH_DYN_IMRT,il,2018,3.0
SH_DYN_IMRT,il,2018,3.2
SH_DYN_IMRT,il,2018,2.8
SH_DYN_IMRT,it,2018,2.4
SH_DYN_IMRT,it,2018,2.8
SH_DYN_IMRT,it,2018,2.6
SH_DYN_IMRT,ci,2018,52.3
SH_DYN_IMRT,ci,2018,66.0
SH_DYN_IMRT,ci,2018,59.4
SH_DYN_IMRT,jm,2018,10.9
SH_DYN_IMRT,jm,2018,13.8
SH_DYN_IMRT,jm,2018,12.4
SH_DYN_IMRT,jp,2018,1.9
SH_DYN_IMRT,jp,2018,1.8
SH_DYN_IMRT,jp,2018,1.7
SH_DYN_IMRT,kz,2018,7.6
SH_DYN_IMRT,kz,2018,10.0
SH_DYN_IMRT,kz,2018,8.8
SH_DYN_IMRT,jo,2018,15.1
SH_DYN_IMRT,jo,2018,12.6
SH_DYN_IMRT,jo,2018,13.9
SH_DYN_IMRT,ke,2018,27.4
SH_DYN_IMRT,ke,2018,30.6
SH_DYN_IMRT,ke,2018,33.7
SH_DYN_IMRT,kp,2018,12.1
SH_DYN_IMRT,kp,2018,13.7
SH_DYN_IMRT,kp,2018,15.2
SH_DYN_IMRT,kr,2018,2.5
SH_DYN_IMRT,kr,2018,2.7
SH_DYN_IMRT,kr,2018,2.9
SH_DYN_IMRT,kw,2018,6.1
SH_DYN_IMRT,kw,2018,7.3
SH_DYN_IMRT,kw,2018,6.7
SH_DYN_IMRT,kg,2018,14.9
SH_DYN_IMRT,kg,2018,16.9
SH_DYN_IMRT,kg,2018,18.8
SH_DYN_IMRT,la,2018,37.6
SH_DYN_IMRT,la,2018,41.9
SH_DYN_IMRT,la,2018,33.2
SH_DYN_IMRT,lb,2018,6.1
SH_DYN_IMRT,lb,2018,6.4
SH_DYN_IMRT,lb,2018,6.6
SH_DYN_IMRT,ls,2018,65.7
SH_DYN_IMRT,ls,2018,71.8
SH_DYN_IMRT,ls,2018,59.0
SH_DYN_IMRT,lv,2018,3.1
SH_DYN_IMRT,lv,2018,3.3
SH_DYN_IMRT,lv,2018,3.5
SH_DYN_IMRT,lr,2018,53.5
SH_DYN_IMRT,lr,2018,58.4
SH_DYN_IMRT,lr,2018,48.3
SH_DYN_IMRT,ly,2018,11.3
SH_DYN_IMRT,ly,2018,9.1
SH_DYN_IMRT,ly,2018,10.2
SH_DYN_IMRT,lt,2018,3.5
SH_DYN_IMRT,lt,2018,3.0
SH_DYN_IMRT,lt,2018,3.3
SH_DYN_IMRT,lu,2018,1.8
SH_DYN_IMRT,lu,2018,1.9
SH_DYN_IMRT,lu,2018,2.1
SH_DYN_IMRT,mg,2018,41.9
SH_DYN_IMRT,mg,2018,34.2
SH_DYN_IMRT,mg,2018,38.2
SH_DYN_IMRT,mw,2018,35.3
SH_DYN_IMRT,mw,2018,39.0
SH_DYN_IMRT,mw,2018,31.4
SH_DYN_IMRT,my,2018,6.7
SH_DYN_IMRT,my,2018,7.2
SH_DYN_IMRT,my,2018,6.1
SH_DYN_IMRT,mv,2018,6.6
SH_DYN_IMRT,mv,2018,7.4
SH_DYN_IMRT,mv,2018,8.1
SH_DYN_IMRT,ml,2018,67.2
SH_DYN_IMRT,ml,2018,62.0
SH_DYN_IMRT,ml,2018,56.3
SH_DYN_IMRT,mt,2018,6.1
SH_DYN_IMRT,mt,2018,5.6
SH_DYN_IMRT,mt,2018,6.6
SH_DYN_IMRT,mr,2018,56.9
SH_DYN_IMRT,mr,2018,45.9
SH_DYN_IMRT,mr,2018,51.5
SH_DYN_IMRT,mu,2018,12.1
SH_DYN_IMRT,mu,2018,15.0
SH_DYN_IMRT,mu,2018,13.6
SH_DYN_IMRT,mx,2018,11.0
SH_DYN_IMRT,mx,2018,9.8
SH_DYN_IMRT,mx,2018,12.0
SH_DYN_IMRT,mc,2018,2.9
SH_DYN_IMRT,mc,2018,2.3
SH_DYN_IMRT,mc,2018,2.6
SH_DYN_IMRT,mn,2018,14.0
SH_DYN_IMRT,mn,2018,11.1
SH_DYN_IMRT,mn,2018,16.8
SH_DYN_IMRT,md,2018,15.1
SH_DYN_IMRT,md,2018,13.6
SH_DYN_IMRT,md,2018,12.0
SH_DYN_IMRT,me,2018,2.2
SH_DYN_IMRT,me,2018,2.3
SH_DYN_IMRT,me,2018,2.4
SH_DYN_IMRT,ma,2018,21.2
SH_DYN_IMRT,ma,2018,19.2
SH_DYN_IMRT,ma,2018,17.1
SH_DYN_IMRT,mz,2018,49.9
SH_DYN_IMRT,mz,2018,57.9
SH_DYN_IMRT,mz,2018,54.0
SH_DYN_IMRT,om,2018,10.8
SH_DYN_IMRT,om,2018,9.8
SH_DYN_IMRT,om,2018,8.8
SH_DYN_IMRT,na,2018,25.9
SH_DYN_IMRT,na,2018,31.8
SH_DYN_IMRT,na,2018,29.0
SH_DYN_IMRT,nr,2018,29.2
SH_DYN_IMRT,nr,2018,26.4
SH_DYN_IMRT,nr,2018,23.5
SH_DYN_IMRT,np,2018,26.7
SH_DYN_IMRT,np,2018,28.9
SH_DYN_IMRT,np,2018,24.3
SH_DYN_IMRT,nl,2018,3.0
SH_DYN_IMRT,nl,2018,3.6
SH_DYN_IMRT,nl,2018,3.3
SH_DYN_IMRT,vu,2018,20.5
SH_DYN_IMRT,vu,2018,22.3
